Time_sec,TDS_raw,Turbidity_raw,Flow_L_min
886,848,2685,0.40
887,848,2656,0.27
888,848,2675,0.27
889,848,2659,0.27
890,836,2634,0.27
891,849,2448,0.27
892,841,2277,0.27
893,833,2229,0.27
894,839,2238,0.27
895,841,2252,0.27
896,847,2237,0.27
897,847,2250,0.27
898,842,2243,0.27
899,840,2249,0.27
900,837,2304,0.27
901,835,2240,0.13
902,846,2256,0.27
903,842,2285,0.27
904,830,2307,0.27
905,844,2306,0.27
906,843,2320,0.27
907,832,2339,0.27
908,846,2400,0.13
909,834,2414,0.27
910,826,2450,0.27
911,834,2471,0.13
912,826,2477,0.27
913,823,2496,0.27
914,841,2501,0.13
915,827,2501,0.27
916,815,2509,0.27
917,830,2530,0.13
918,827,2523,0.13
919,825,2528,0.27
920,824,2529,0.13
921,830,2522,0.13
922,822,2559,0.27
923,828,2645,0.13
924,818,2637,0.13
925,832,2620,0.00
926,832,2624,0.13
927,825,2626,0.13
928,818,2650,0.13
929,831,2651,0.27
930,835,2652,0.13
931,829,2643,0.27
932,816,2635,0.27
933,828,2642,0.13
934,812,2657,0.27
935,816,2554,0.27
936,819,2461,0.13
937,816,2384,0.13
938,817,2375,0.27
939,814,2370,0.13
940,823,2350,0.13
941,823,2365,0.13
942,816,2343,0.27
943,821,2333,0.13
944,816,2330,0.13
945,823,2289,0.27
946,822,2327,0.27
947,803,2335,0.13
948,816,2353,0.27
949,797,2363,0.27
950,800,2353,0.13
951,815,2356,0.27
952,804,2350,0.13
953,816,2329,0.27
954,816,2336,0.27
955,816,2341,0.13
956,814,2351,0.27
957,804,2346,0.00
958,816,2342,0.13
959,806,2337,0.00
960,813,2347,0.00
961,798,2368,0.00
962,798,2379,0.00
963,805,2373,0.00
964,799,2377,0.00
965,803,2364,0.00
966,801,2351,0.00
967,803,2347,0.00
968,801,2352,0.00
969,797,2304,0.00
970,798,2318,0.00
971,814,2310,0.27
972,803,2256,0.27
973,800,2260,0.27
974,800,2249,0.40
975,807,2242,0.40
976,799,2253,0.40
977,809,2241,0.53
978,796,2247,0.40
979,802,2261,0.53
980,811,2252,0.40
981,805,2243,0.53
982,799,2257,0.40
983,823,2255,0.53
984,811,2257,0.40
985,814,2264,0.40
986,805,2380,0.53
987,806,2419,0.40
988,803,2285,0.40
989,807,2356,0.27
990,806,2368,0.40
991,823,2383,0.40
992,800,2389,0.27
